item.log.2020-04-24-08:24 Apr 2020 08:47:33,126 INFO  [bitzero.server.controllers.ExtensionController-12] ItemLogger     - 120239589 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-08:24 Apr 2020 08:48:03,513 INFO  [bitzero.server.controllers.ExtensionController-8] ItemLogger     - 116720575 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-08:24 Apr 2020 08:54:06,864 INFO  [bitzero.server.controllers.ExtensionController-7] ItemLogger     - 117598205 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:03:12,199 INFO  [bitzero.server.controllers.ExtensionController-4] ItemLogger     - 118248776 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:16:24,271 INFO  [bitzero.server.controllers.ExtensionController-11] ItemLogger     - 119407632 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:18:57,075 INFO  [bitzero.server.controllers.ExtensionController-13] ItemLogger     - 115865649 | jackpot | 2 | added gold to game | 2000000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:20:54,475 INFO  [bitzero.server.controllers.ExtensionController-5] ItemLogger     - 114553012 | jackpot | 4 | added gold to game | 200000000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:21:44,301 INFO  [bitzero.server.controllers.ExtensionController-16] ItemLogger     - 120262414 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:24:24,664 INFO  [bitzero.server.controllers.ExtensionController-1] ItemLogger     - 109836188 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:24:38,374 INFO  [bitzero.server.controllers.ExtensionController-13] ItemLogger     - 119745929 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:25:44,989 INFO  [bitzero.server.controllers.ExtensionController-2] ItemLogger     - 110271179 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:28:02,068 INFO  [bitzero.server.controllers.ExtensionController-2] ItemLogger     - 107192855 | jackpot | 3 | added gold to game | 20000000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:33:44,989 INFO  [bitzero.server.controllers.ExtensionController-1] ItemLogger     - 120016675 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:34:13,943 INFO  [bitzero.server.controllers.ExtensionController-3] ItemLogger     - 113245304 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:35:05,090 INFO  [bitzero.server.controllers.ExtensionController-15] ItemLogger     - 108653913 | jackpot | 1 | added gold to game | 200000 | 0
item.log.2020-04-24-09:24 Apr 2020 09:35:19,975 INFO  [bitzero.server.controllers.ExtensionController-9] ItemLogger     - 112818077 | jackpot | 1 | added gold to game | 200000 | 4000
item.log.2020-04-24-09:24 Apr 2020 09:35:34,853 INFO  [bitzero.server.controllers.ExtensionController-13] ItemLogger     - 118424852 | jackpot | 1 | added gold to game | 200000 | 0
